video,frame,x_min,y_min,x_max,y_max
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,17,1,351,78,417
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,18,5,355,124,422
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,19,50,361,167,429
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,20,94,372,211,437
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,21,134,377,250,445
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,22,174,384,289,453
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,23,210,396,326,464
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,24,245,401,362,481
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,25,279,413,394,492
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,26,309,426,426,508
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,27,340,440,455,527
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,28,373,458,486,547
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,29,409,478,515,568
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,30,445,502,550,595
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,31,483,530,587,620
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,32,518,554,625,652
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,33,552,585,661,685
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,34,590,614,697,718
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,35,628,648,729,753
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,36,665,684,761,788
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,37,696,720,790,822
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,38,731,762,824,867
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,39,760,800,853,908
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,40,790,841,879,950
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,41,819,889,907,1002
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,42,843,938,927,1052
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,43,865,992,939,1079
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,104,1,378,60,436
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,105,1,378,114,454
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,106,55,396,166,469
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,107,105,410,218,485
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,108,160,428,270,498
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,109,211,443,321,519
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,110,260,461,373,540
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,111,310,481,419,563
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,112,358,506,467,589
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,113,406,528,512,618
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,114,449,557,555,648
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,115,493,585,601,674
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,116,539,612,645,699
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,117,584,637,690,725
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,118,627,661,735,745
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,119,673,682,783,757
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,119,1628,1,1678,62
videos/d0b2eabe-9109-4d12-8ecc-15d3813566ff.mp4,120,723,700,830,768
